disease,urdu_name,symptoms_urdu,symptoms_english,treatment_urdu,treatment_english,emergency,category,severity
Viral Flu,نزلہ زکام,بخار جسم درد تھکاوٹ کھانسی ناک بہنا,fever body ache fatigue cough runny nose,پیناڈول لیں آرام کریں پانی زیادہ پئیں,Take paracetamol rest drink plenty fluids,No,Viral,Mild
Common Cold,عام سردی,ناک بہنا چھینکنا گلا خراب آنکھوں سے پانی,sneezing runny nose sore throat watery eyes,شہد لیموں گرم پانی گرم چائے آرام,Honey lemon warm water rest well,No,Viral,Mild
Typhoid,میعادی بخار,تیز بخار پیٹ درد کمزوری سر درد دست,high fever abdominal pain weakness headache diarrhea,فوری ڈاکٹر سے ملیں اینٹی بائیوٹکس ضروری ہیں,See doctor immediately antibiotics needed,Yes,Bacterial,Severe
Dengue Fever,ڈینگی بخار,تیز بخار آنکھوں میں درد جسم پر دھبے ہڈی درد,high fever eye pain skin rash bone breaking pain,پلیٹلیٹس چیک کروائیں ہسپتال داخل ہوں پانی زیادہ,Check platelets hospitalize increase fluid intake,Yes,Viral,Severe
Malaria,ملیریا,کانپنا ٹھنڈ پھر تیز بخار پسینہ تھکان,chills cold then high fever sweating fatigue,فوری ڈاکٹر ملیریا کی دوا ضروری,See doctor immediately antimalarial medicine needed,Yes,Parasitic,Severe
Gastritis,معدے کی سوزش,پیٹ میں جلن جی متلانا کھانے کے بعد درد اُبکائی,stomach burning nausea pain after eating vomiting,اینٹاسڈ لیں مرچ مسالہ بند ہلکا کھانا,Take antacid avoid spicy food eat light meals,No,Digestive,Mild
Migraine,درد شقیقہ,ایک طرف تیز سر درد اندھیرے میں تکلیف اُبکائی روشنی سے پریشانی,one sided severe headache nausea vomiting light sensitivity,اندھیرے کمرے میں آرام کریں درد کی دوا لیں,Rest in dark quiet room take painkiller,No,Neurological,Moderate
UTI,پیشاب کی نالی کا انفیکشن,پیشاب میں جلن بار بار پیشاب پیشاب میں خون,burning urination frequent urination blood in urine,پانی زیادہ پئیں فوری ڈاکٹر سے ملیں,Drink plenty water see doctor urgently,Yes,Bacterial,Moderate
Allergy,الرجی,چھینکنا آنکھ کھجلی سانس پھولنا جلد پر دانے,sneezing itchy eyes breathing difficulty skin rash,اینٹی الرجی دوا لیں الرجن سے دور رہیں,Take antihistamine avoid allergens,No,Allergic,Mild
Tonsillitis,لوزتین کی سوزش,گلا خراب نگلنے میں تکلیف بخار ٹانسل سوجنا,sore throat painful swallowing fever swollen tonsils,گرم نمک پانی سے غرارے کریں ڈاکٹر سے ملیں,Warm salt water gargle see doctor,No,Bacterial,Moderate
Pneumonia,پھیپھڑوں کی سوزش,تیز بخار بلغمی کھانسی سانس میں تکلیف سینہ درد,high fever productive cough breathing difficulty chest pain,فوری ہسپتال جائیں اینٹی بائیوٹکس ضروری,Emergency hospital antibiotics needed immediately,Yes,Bacterial,Severe
Asthma,دمہ,سانس پھولنا سینے میں سیٹی کی آواز کھانسی,shortness breath wheezing chest tightness cough,انہیلر استعمال کریں ٹرگر سے بچیں ڈاکٹر ملیں,Use inhaler avoid triggers see doctor,Yes,Respiratory,Moderate
Diabetes,شوگر کی علامات,زیادہ پیاس بار بار پیشاب تھکاوٹ نظر دھندلا,excessive thirst frequent urination fatigue blurry vision,فوری بلڈ شوگر ٹیسٹ کروائیں ڈاکٹر سے ملیں,Get blood sugar test immediately consult doctor,Yes,Metabolic,Moderate
High Blood Pressure,بلند فشار خون,سر درد چکر آنا ناک سے خون آنا سینہ بھاری,headache dizziness nosebleed chest discomfort,بی پی چیک کروائیں نمک کم کریں ڈاکٹر ملیں,Check BP reduce salt intake see doctor,Yes,Cardiovascular,Moderate
Heart Attack,دل کا دورہ,سینے میں تیز درد بائیں بازو میں درد سانس پھولنا پسینہ,severe chest pain left arm pain shortness breath sweating,فوری 1122 پر کال کریں ہارٹ اٹیک,CALL 1122 IMMEDIATELY HEART ATTACK EMERGENCY,Yes,Cardiovascular,Critical
Appendicitis,اپینڈیسائٹس,پیٹ کے نیچے دائیں طرف درد بخار اُبکائی,lower right abdominal pain fever nausea vomiting,فوری ہسپتال جائیں آپریشن کی ضرورت,EMERGENCY HOSPITAL surgery may be needed,Yes,Surgical,Critical
